Ranking,Column
1,age_fix
1,os_Windows
1,gender_FEMALE
1,first_browser_Chrome
1,first_affiliate_tracked_untracked
1,affiliate_provider_google
1,device_Phone
1,first_browser_Firefox
1,signup_method_basic
1,date_first_active_month
1,date_first_active_dayofyear
1,first_active_day_to_next_holiday
1,duration_max
1,duration_median
1,duration_sum
1,session_count
1,device_Desktop
1,first_browser_Safari
2,affiliate_provider_direct
3,gender_MALE
4,first_browser_Mobile Safari
5,first_affiliate_tracked_linked
6,gender_-unknown-
7,first_affiliate_tracked_omg
8,os_Android
9,affiliate_channel_sem-brand
10,first_browser_IE
11,affiliate_channel_seo
12,os_OS
13,affiliate_channel_sem-non-brand
14,signup_app_iOS
15,affiliate_channel_content
16,os_Others
17,signup_app_Web
18,GB
19,device_Tablet
20,signup_flow_12
21,signup_flow_24
22,first_browser_-unknown-
23,affiliate_channel_remarketing
24,affiliate_channel_direct
25,os_Linux
26,first_affiliate_tracked_tracked-other
27,signup_flow_0
28,first_active_day_is_holiday_True
29,EU(Other)
30,signup_app_Moweb
31,first_browser_other
32,affiliate_provider_other
33,language_map_country_FR
34,device_Others
35,first_active_day_is_holiday_False
36,signup_flow_other
37,PT
38,affiliate_provider_bing
39,CA
40,first_browser_Chrome Mobile
41,signup_app_Android
42,affiliate_provider_facebook
43,first_affiliate_tracked_product
44,signup_method_facebook
45,ASIA
46,US
47,language_map_country_EU(Other)
48,gender_OTHER
49,affiliate_channel_other
50,signup_method_google
51,signup_flow_23
52,language_map_country_ASIA
53,first_affiliate_tracked_other
54,language_map_country_AU|CA|GB|US
55,language_map_country_DE
56,signup_flow_25
57,ES
58,affiliate_channel_api
59,language_map_country_IT
60,AU
61,DE
62,has_age_False
63,has_age_True
64,language_map_country_PT
65,FR
66,IT
67,language_map_country_ES
