Ranking,Column
1,affiliate_channel_content
1,has_age_False
1,first_active_day_is_holiday_False
1,signup_method_facebook
1,signup_method_basic
1,GB
2,first_browser_-unknown-
3,gender_FEMALE
4,gender_-unknown-
5,device_Phone
6,device_Desktop
7,device_Tablet
8,ASIA
9,first_browser_IE
10,os_Android
11,signup_flow_0
12,signup_flow_other
13,affiliate_channel_seo
14,first_affiliate_tracked_omg
15,first_affiliate_tracked_untracked
16,first_affiliate_tracked_linked
17,signup_flow_12
18,language_map_country_AU|CA|GB|US
19,gender_OTHER
20,signup_app_Android
21,signup_app_iOS
22,device_Others
23,first_browser_Mobile Safari
24,affiliate_provider_bing
25,signup_flow_24
26,first_browser_other
27,first_active_day_is_holiday_True
28,affiliate_provider_facebook
29,signup_app_Web
30,affiliate_channel_sem-non-brand
31,first_browser_Firefox
32,first_browser_Chrome
33,language_map_country_ASIA
34,first_affiliate_tracked_tracked-other
35,first_affiliate_tracked_product
36,affiliate_provider_other
37,os_OS
38,has_age_True
39,signup_method_google
40,os_Others
41,first_browser_Safari
42,gender_MALE
43,affiliate_channel_direct
44,affiliate_channel_sem-brand
45,affiliate_provider_google
46,FR
47,affiliate_channel_api
48,CA
49,language_map_country_ES
50,signup_flow_25
51,signup_app_Moweb
52,os_Linux
53,language_map_country_DE
54,affiliate_channel_remarketing
55,duration_sum
56,session_count
57,os_Windows
58,affiliate_channel_other
59,IT
60,signup_flow_23
61,first_browser_Chrome Mobile
62,EU(Other)
63,AU
64,duration_median
65,duration_max
66,language_map_country_FR
67,ES
68,age_fix
69,DE
70,PT
71,US
72,language_map_country_IT
73,language_map_country_EU(Other)
74,affiliate_provider_direct
75,language_map_country_PT
76,first_affiliate_tracked_other
77,date_first_active_month
78,first_active_day_to_next_holiday
79,date_first_active_dayofyear
