Ranking,Column
1,age_fix
1,first_browser_IE
1,first_browser_Firefox
1,first_browser_Chrome Mobile
1,first_browser_Chrome
1,first_browser_-unknown-
1,affiliate_provider_other
1,affiliate_provider_google
1,affiliate_provider_facebook
1,affiliate_provider_direct
1,affiliate_provider_bing
1,affiliate_channel_seo
1,affiliate_channel_sem-non-brand
1,affiliate_channel_sem-brand
1,affiliate_channel_remarketing
1,affiliate_channel_other
1,first_browser_Mobile Safari
1,affiliate_channel_direct
1,first_browser_Safari
1,first_affiliate_tracked_omg
1,has_age_True
1,has_age_False
1,signup_flow_25
1,signup_flow_24
1,signup_flow_12
1,signup_flow_0
1,signup_method_facebook
1,signup_method_basic
1,signup_app_iOS
1,signup_app_Web
1,signup_app_Moweb
1,signup_app_Android
1,first_affiliate_tracked_untracked
1,first_affiliate_tracked_tracked-other
1,first_affiliate_tracked_product
1,first_affiliate_tracked_linked
1,first_active_day_is_holiday_False
1,affiliate_channel_content
1,first_active_day_is_holiday_True
1,ASIA
1,os_OS
1,AU
1,CA
1,os_Linux
1,os_Android
1,device_Tablet
1,device_Phone
1,GB
1,device_Others
1,device_Desktop
1,US
1,gender_-unknown-
1,gender_FEMALE
1,gender_MALE
1,date_first_active_month
1,date_first_active_dayofyear
1,language_map_country_AU|CA|GB|US
1,first_active_day_to_next_holiday
1,duration_max
1,duration_median
1,duration_sum
1,session_count
1,os_Windows
1,os_Others
2,first_browser_other
3,language_map_country_ASIA
4,gender_OTHER
5,ES
6,language_map_country_EU(Other)
7,affiliate_channel_api
8,language_map_country_FR
9,signup_flow_other
10,signup_flow_23
11,FR
12,language_map_country_ES
13,DE
14,signup_method_google
15,EU(Other)
16,language_map_country_DE
17,language_map_country_PT
18,IT
19,first_affiliate_tracked_other
20,PT
21,language_map_country_IT
